Country,Curruption,Gini
Senegal2012,36,40.28523
Senegal2013,41,40.28523
Senegal2014,43,40.28523
Senegal2015,44,40.28523
Senegal2016,45,40.28523
Senegal2017,45,40.28523
Senegal2018,45,40.28523
Serbia2012,39,39.924659999999996
Serbia2013,42,29.01711
Serbia2014,41,40.49414
Serbia2015,40,28.51574
Serbia2016,42,38.8325
Serbia2017,41,36.1519
Serbia2018,39,30.351059999999997
Seychelles2012,52,46.822790000000005
Seychelles2013,54,46.822790000000005
Sierra Leone2018,30,35.69018
Slovakia2012,46,26.1163
Slovakia2013,47,28.086209999999998
Slovakia2014,50,26.10663
Slovakia2015,51,26.491659999999996
Slovakia2016,51,25.16775
Slovakia2018,50,24.97015
Slovenia2012,61,25.5855
Slovenia2013,57,26.2411
Slovenia2014,58,25.657529999999998
Slovenia2015,60,25.40846
Slovenia2016,61,24.757939999999998
Slovenia2017,61,24.21931
Slovenia2018,60,24.63336
Solomon Islands2016,42,37.05493000000001
Solomon Islands2017,39,37.05493000000001
Solomon Islands2018,44,37.05493000000001
Somalia2012,8,36.82241
Somalia2013,8,36.82241
Somalia2014,8,36.82241
Somalia2015,8,36.82241
Somalia2016,10,36.82241
Somalia2017,9,36.82241
Somalia2018,10,36.82241
South Africa2015,44,63.02607
South Africa2016,45,63.02607
South Africa2017,43,63.02607
South Africa2018,43,63.02607
South Korea2012,56,31.55805
South Korea2014,55,31.1929
South Korea2016,53,31.40486
South Korea2017,54,31.40486
South Korea2018,57,31.40486
South Sudan2017,12,44.14413
South Sudan2018,13,44.14413
Spain2012,65,35.40633000000001
Spain2013,59,36.18517
Spain2014,60,36.05441
Spain2015,58,36.18142
Spain2016,58,35.759890000000006
Spain2017,57,34.65455
Spain2018,58,34.71895
Sri Lanka2016,36,39.34577
Sri Lanka2017,38,39.34577
Sri Lanka2018,38,39.34577
Sudan2014,11,34.2432
Sudan2015,12,34.2432
Sudan2016,14,34.2432
Sudan2017,16,34.2432
Sudan2018,16,34.2432
Suriname2012,37,57.60975000000001
Suriname2013,36,57.60975000000001
Suriname2014,36,57.60975000000001
Suriname2015,36,57.60975000000001
Suriname2016,45,57.60975000000001
Suriname2017,41,57.60975000000001
Suriname2018,43,57.60975000000001
Sweden2012,88,27.645380000000007
Sweden2013,89,28.82522
Sweden2014,87,28.38972
Sweden2015,89,29.210190000000004
Sweden2016,88,29.562170000000002
Sweden2017,84,28.7746
Sweden2018,85,29.974190000000004
Switzerland2012,86,31.56713
Switzerland2013,85,32.46219
Switzerland2014,86,32.525659999999995
Switzerland2015,86,32.306960000000004
Switzerland2016,86,33.04245
Switzerland2017,85,32.67633
Switzerland2018,85,33.14105
Syria2012,26,37.5146
Syria2013,17,37.5146
Syria2014,20,37.5146
Syria2015,18,37.5146
Syria2016,13,37.5146
Syria2017,14,37.5146
Syria2018,13,37.5146
Taiwan2013,61,32.487390000000005
Taiwan2016,61,31.48272
Taiwan2017,63,31.48272
Taiwan2018,63,31.48272
Tajikistan2015,26,33.99572
Tajikistan2016,25,33.99572
Tajikistan2017,21,33.99572
Tajikistan2018,25,33.99572
Tanzania2018,36,40.49123
Thailand2012,37,39.25667
Thailand2013,35,37.84711
Thailand2014,38,37.03266
Thailand2015,38,35.98733
Thailand2016,35,36.89063
Thailand2017,37,36.52875
Thailand2018,36,36.41217
Timor2014,28,28.652929999999998
Timor2015,28,28.652929999999998
Timor2016,35,28.652929999999998
Timor2017,38,28.652929999999998
Timor2018,35,28.652929999999998
Togo2015,32,43.05614
Togo2016,32,43.05614
Togo2017,32,43.05614
Togo2018,30,43.05614
Trinidad and Tobago2012,39,40.27296000000001
Trinidad and Tobago2013,38,40.27296000000001
Trinidad and Tobago2014,38,40.27296000000001
Trinidad and Tobago2015,39,40.27296000000001
